ID,Group,Tests,TestExecutions,TestExecutionsCoverage,DebuggerUses,Levels,FailedGoldenTests,PassedGoldenTests,Grade,FailedOwnTests,RatioTestFailed,LineCoverage,BranchCoverage,MutationScore,Testing,Main,TestSmells,RatioTestSmells,Notifications,Safety FirstLevel,Check your branchesLevel,Check your classesLevel,Line-by-lineLevel,Check your methodsLevel,Bug FinderLevel,Class Reviewer - BranchesLevel,Class Reviewer - LinesLevel,Class Reviewer - MethodsLevel,Double checkLevel,Shine in new splendourLevel,The Method ExtractorLevel,The Method InlinerLevel,The EponymLevel,Test FixerLevel,Gotta Catch ’Em AllLevel,The DebuggerLevel,Test ExecutorLevel,The TesterLevel,The Tester - AdvancedLevel,Take some breaksLevel,Make Your ChoiceLevel,On the WatchLevel,Break the LineLevel,Break the MethodLevel,Assert and TestedLevel,Safety FirstProgress,Check your branchesProgress,Check your classesProgress,Line-by-lineProgress,Check your methodsProgress,Bug FinderProgress,Class Reviewer - BranchesProgress,Class Reviewer - LinesProgress,Class Reviewer - MethodsProgress,Double checkProgress,Shine in new splendourProgress,The Method ExtractorProgress,The Method InlinerProgress,The EponymProgress,Test FixerProgress,Gotta Catch ’Em AllProgress,The DebuggerProgress,Test ExecutorProgress,The TesterProgress,The Tester - AdvancedProgress,Take some breaksProgress,Make Your ChoiceProgress,On the WatchProgress,Break the LineProgress,Break the MethodProgress,Assert and TestedProgress
39,Control,24,49,0,0,6,2,58,27,0,0,0.946428571428571,0.4,56.41,1,0,0,0,76,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,27,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,84,50,0,1,0,0,1,0,47
40,Control,10,30,0,0,6,11,49,27,0,0,0.869565217391304,0.388888888888889,43.48,1,1,0,0,52,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,12,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,29,30,0,1,0,0,1,0,11
41,Control,1,9,0,0,2,32,28,27,0,0,0,0,0,1,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,9,0,1,0,0,1,0,0
42,Control,29,60,0,16,12,1,59,30,0,0,0.984615384615385,0.769230769230769,45.88,1,0,0,0,104,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,2,0,1,32,0,0,0,0,5,0,0,0,32,0,0,0,0,0,0,16,77,60,0,13,0,0,13,0,45
43,Control,10,27,0,1,7,3,57,30,0,0,0.91044776119403,0.3125,42.7,1,0,0,0,54,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,11,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,1,28,28,0,3,0,0,3,0,12
44,Control,11,80,0,0,7,6,54,30,0,0,0.949152542372881,0.590909090909091,66.04,1,0,0,0,113,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,11,0,0,0,0,2,0,0,0,24,0,0,0,0,0,0,0,78,81,0,6,0,0,6,0,28
45,Control,10,36,0,1,7,24,36,24,1,0.1,0.903225806451613,0.181818181818182,17.01,1,0,0,0,63,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,14,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,1,58,36,0,1,0,0,1,0,35
46,Control,25,28,0,13,8,6,54,27,0,0,0.980392156862745,0.807692307692308,69.07,1,0,0,0,59,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,13,28,28,0,4,0,0,4,0,2
47,Control,20,33,0,0,7,4,56,27,0,0,0.782258064516129,0.474576271186441,48.42,1,0,0,0,61,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,20,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,50,33,0,4,0,0,4,0,39
48,Control,1,21,0,9,4,28,26,21,1,1,0.842105263157895,0.6,28.87,1,1,0,0,105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,15,69,69,0,9,0,0,9,0,8
